,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第3节,7.5,0.8,-7.5,0.87,135.5,0.87,135.5,0.8,,,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0,
1,,,,第3节,7.5,0.8,-7.5,0.87,136.5,0.83,136.5,0.83,136.5,,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0,
2,,,,第3节,7.5,0.8,-7.5,0.87,136.5,0.83,136.5,0.83,136.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,55.0,0,,1089.0,0.0,0.0,
3,,,,第3节,7.5,0.8,-7.5,0.87,136.5,0.83,136.5,0.83,136.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,55.0,0,,1089.0,0.0,0.0,
4,,,,第3节,7.5,0.8,-7.5,0.87,136.5,0.83,136.5,0.83,136.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,54.0,0,,1089.0,0.0,0.0,
5,,,,第3节,7.5,0.77,-7.5,0.91,136.5,0.8,136.5,0.87,136.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,54.0,0,,11077.0,0.0,0.0,
6,,,,第3节,7.5,0.77,-7.5,0.91,136.5,0.8,136.5,0.87,136.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,38.0,0,,11077.0,0.0,0.0,
7,,,,第3节,7.5,0.77,-7.5,0.91,136.5,0.8,136.5,0.87,136.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,38.0,0,,11095.0,0.0,0.0,"0.88,0.62"
8,,,,第3节,7.5,0.87,-6.5,0.8,136.5,0.8,136.5,0.87,-6.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,38.0,0,,21077.0,0.0,0.0,
9,,,,第3节,6.5,0.87,-6.5,0.8,136.5,0.8,135.5,0.87,6.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,38.0,0,,21077.0,0.0,0.0,
10,,,,第3节,6.5,0.87,-6.5,0.8,135.5,0.8,135.5,0.87,135.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,35.0,0.0,1,9.0,38.0,0,,21077.0,0.0,0.0,
11,,,,第3节,6.5,0.91,-6.5,0.77,135.5,0.8,135.5,0.87,135.5,3.0,,,8.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,38.0,35.0,0.0,1,9.0,38.0,0,,11077.0,0.0,0.0,
12,,,,第3节,6.5,0.91,-6.5,0.77,135.5,0.8,135.5,0.87,135.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,38.0,35.0,0.0,1,9.0,38.0,0,,11075.0,0.0,0.0,"0.66,0.28"
13,,,,第3节,6.5,0.91,-6.5,0.77,135.5,0.8,135.5,0.87,135.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,38.0,0,,21077.0,0.0,0.0,
14,,,,第3节,6.5,0.91,-6.5,0.77,135.5,0.8,135.5,0.87,135.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,25.0,0,,21077.0,0.0,0.0,
15,,,,第3节,6.5,0.83,-9.5,0.83,135.5,0.8,135.5,0.87,-9.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,25.0,0,,21077.0,0.0,0.0,
16,,,,第3节,9.5,0.83,-9.5,0.83,135.5,0.8,137.5,0.83,9.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,25.0,0,,21077.0,0.0,0.0,
17,,,,第3节,9.5,0.83,-9.5,0.83,137.5,0.83,137.5,0.83,137.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,25.0,0,,21077.0,0.0,0.0,
18,,,,第3节,9.5,0.83,-9.5,0.83,137.5,0.83,137.5,0.83,137.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,21.0,0,,21077.0,0.0,0.0,
19,,,,第3节,9.5,0.8,-11.5,0.87,137.5,0.83,137.5,0.83,-11.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,21.0,0,,11077.0,0.0,0.0,
20,,,,第3节,11.5,0.8,-11.5,0.87,137.5,0.83,139.5,0.83,11.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,21.0,0,,11077.0,0.0,0.0,
21,,,,第3节,11.5,0.8,-11.5,0.87,139.5,0.83,139.5,0.83,139.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,21.0,0,,11077.0,0.0,0.0,
22,,,,第3节,11.5,0.8,-11.5,0.87,139.5,0.83,139.5,0.83,139.5,3.0,,,9.0,7.0,4.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,38.0,0.0,1,9.0,17.0,0,,11077.0,0.0,0.0,
23,,,,第3节,11.5,0.8,-11.5,0.87,139.5,0.83,139.5,0.83,139.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,40.0,38.0,0.0,1,9.0,17.0,0,,11074.0,0.0,0.0,"0.77,0.71"
24,,,,第3节,11.5,0.8,-11.5,0.87,139.5,0.83,139.5,0.83,139.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,9.0,17.0,0,,21077.0,0.0,0.0,
25,,,,第3节,11.5,0.8,-11.5,0.87,139.5,0.8,139.5,0.87,139.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,9.0,17.0,0,,21095.0,0.0,0.0,"0.09,0.56"
26,,,,第3节,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,9.0,17.0,0,,11077.0,0.0,0.0,
27,,,,第3节,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,51.0,0,,11077.0,0.0,0.0,
28,,,,第3节,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,51.0,0,,11094.0,0.0,0.0,"0.69,0.27"
29,,,,第3节,11.5,0.87,-10.5,0.8,137.5,0.83,137.5,0.83,-10.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,51.0,0,,21077.0,0.0,0.0,
30,,,,第3节,10.5,0.87,-10.5,0.8,137.5,0.83,136.5,0.83,10.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,51.0,0,,21077.0,0.0,0.0,
31,,,,第3节,10.5,0.87,-10.5,0.8,136.5,0.83,136.5,0.83,136.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,51.0,0,,21077.0,0.0,0.0,
32,,,,第3节,10.5,0.87,-10.5,0.8,136.5,0.83,136.5,0.83,136.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,39.0,0,,21077.0,0.0,0.0,
33,,,,第3节,10.5,0.87,-10.5,0.8,136.5,0.83,136.5,0.83,136.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,39.0,0,,21077.0,0.0,0.0,
34,,,,第3节,10.5,0.87,-10.5,0.8,136.5,0.83,136.5,0.83,136.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,27.0,0,,21077.0,0.0,0.0,
35,,,,第3节,10.5,0.87,-10.5,0.8,136.5,0.83,136.5,0.83,136.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,27.0,0,,11086.0,0.0,0.0,
36,,,,第3节,10.5,0.83,-10.5,0.83,135.5,0.87,135.5,0.8,135.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,27.0,0,,21077.0,0.0,0.0,
37,,,,第3节,10.5,0.83,-10.5,0.83,135.5,0.87,135.5,0.8,135.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,27.0,0,,21077.0,0.0,0.0,
38,,,,第3节,10.5,0.83,-11.5,0.83,135.5,0.87,135.5,0.8,-11.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,27.0,0,,21077.0,0.0,0.0,
39,,,,第3节,11.5,0.83,-11.5,0.83,135.5,0.83,135.5,0.83,11.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,21.0,0,,21077.0,0.0,0.0,
40,,,,第3节,11.5,0.83,-11.5,0.83,135.5,0.83,135.5,0.83,11.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,21.0,0,,11077.0,0.0,0.0,
41,,,,第3节,11.5,0.83,-11.5,0.83,135.5,0.83,135.5,0.83,11.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,21.0,0,,11094.0,0.0,0.0,"0.69,0.34"
42,,,,第3节,11.5,0.83,-10.5,0.83,135.5,0.83,135.5,0.83,-10.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,21.0,0,,21077.0,0.0,0.0,
43,,,,第3节,10.5,0.83,-10.5,0.83,135.5,0.83,134.5,0.8,10.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,21.0,0,,21077.0,0.0,0.0,
44,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,21.0,0,,21077.0,0.0,0.0,
45,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,10.0,0,,21077.0,0.0,0.0,
46,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,10.0,0,,21077.0,0.0,0.0,
47,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,4.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,40.0,0.0,1,8.0,5.0,0,,21077.0,0.0,0.0,
48,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,35.0,37.0,0.0,1,8.0,5.0,0,,21074.0,0.0,0.0,"0.14,0.52"
49,,,,第3节,10.5,0.83,-10.5,0.83,134.5,0.87,134.5,0.8,134.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11077.0,0.0,0.0,
50,,,,第3节,10.5,0.83,-9.5,0.83,134.5,0.87,134.5,0.8,-9.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11077.0,0.0,0.0,
51,,,,第3节,9.5,0.83,-9.5,0.83,134.5,0.87,136.5,0.8,9.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11077.0,0.0,0.0,
52,,,,第3节,9.5,0.83,-9.5,0.83,136.5,0.87,136.5,0.8,136.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11077.0,0.0,0.0,
53,,,,第3节,9.5,0.83,-9.5,0.83,136.5,0.87,136.5,0.8,136.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,8.0,5.0,0,,11094.0,0.0,0.0,"0.66,0.76"
54,,,,第3节,9.5,0.83,-9.5,0.83,136.5,0.87,136.5,0.8,136.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,7.0,41.0,0,,21077.0,0.0,0.0,
55,,,,第3节,9.5,0.83,-8.5,0.83,136.5,0.87,136.5,0.8,-8.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,7.0,41.0,0,,21077.0,0.0,0.0,
56,,,,第3节,8.5,0.83,-8.5,0.83,136.5,0.87,135.5,0.83,8.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,7.0,41.0,0,,21077.0,0.0,0.0,
57,,,,第3节,8.5,0.83,-8.5,0.83,135.5,0.83,135.5,0.83,135.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,7.0,41.0,0,,21077.0,0.0,0.0,
58,,,,第3节,8.5,0.83,-8.5,0.83,135.5,0.83,135.5,0.83,135.5,3.0,,,9.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,40.0,0.0,1,7.0,31.0,0,,21077.0,0.0,0.0,
59,,,,第3节,8.5,0.83,-8.5,0.83,135.5,0.83,135.5,0.83,135.5,3.0,,,9.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,37.0,39.0,0.0,1,7.0,31.0,0,,21074.0,0.0,0.0,"0.12,0.55"
60,,,,第3节,8.5,0.83,-8.5,0.83,135.5,0.83,135.5,0.83,135.5,3.0,,,9.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,40.0,0.0,1,7.0,31.0,0,,11077.0,0.0,0.0,
61,,,,第3节,8.5,0.83,-7.5,0.83,135.5,0.83,135.5,0.83,-7.5,3.0,,,9.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,40.0,0.0,1,7.0,31.0,0,,11077.0,0.0,0.0,
62,,,,第3节,7.5,0.83,-7.5,0.83,135.5,0.83,137.5,0.87,7.5,3.0,,,9.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,40.0,0.0,1,7.0,31.0,0,,11077.0,0.0,0.0,
63,,,,第3节,7.5,0.83,-7.5,0.83,137.5,0.8,137.5,0.87,137.5,3.0,,,9.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,40.0,0.0,1,7.0,31.0,0,,11077.0,0.0,0.0,
64,,,,第3节,7.5,0.83,-7.5,0.83,137.5,0.8,137.5,0.87,137.5,3.0,,,10.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,43.0,40.0,0.0,1,7.0,31.0,0,,11075.0,0.0,0.0,"0.63,0.56"
65,,,,第3节,7.5,0.83,-7.5,0.83,137.5,0.8,137.5,0.87,137.5,3.0,,,10.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,43.0,0.0,1,7.0,14.0,0,,21077.0,0.0,0.0,
66,,,,第3节,7.5,0.8,-9.5,0.87,137.5,0.8,137.5,0.87,-9.5,3.0,,,10.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,43.0,0.0,1,7.0,14.0,0,,21077.0,0.0,0.0,
67,,,,第3节,9.5,0.8,-9.5,0.87,137.5,0.8,139.5,0.83,9.5,3.0,,,10.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,43.0,0.0,1,7.0,14.0,0,,21077.0,0.0,0.0,
68,,,,第3节,9.5,0.8,-9.5,0.87,139.5,0.83,139.5,0.83,139.5,3.0,,,10.0,7.0,5.0,6.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,43.0,0.0,1,7.0,14.0,0,,21077.0,0.0,0.0,
69,,,,第3节,9.5,0.8,-9.5,0.87,139.5,0.8,139.5,0.87,139.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,39.0,41.0,0.0,1,7.0,14.0,0,,21074.0,0.0,0.0,"0.09,0.61"
70,,,,第3节,9.5,0.8,-9.5,0.87,139.5,0.8,139.5,0.87,139.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,7.0,14.0,0,,11077.0,0.0,0.0,
71,,,,第3节,9.5,0.8,-8.5,0.87,139.5,0.8,139.5,0.87,-8.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,7.0,14.0,0,,11077.0,0.0,0.0,
72,,,,第3节,8.5,0.8,-8.5,0.87,139.5,0.8,140.5,0.91,8.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,7.0,14.0,0,,11077.0,0.0,0.0,
73,,,,第3节,8.5,0.8,-8.5,0.87,140.5,0.77,140.5,0.91,140.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,7.0,14.0,0,,11077.0,0.0,0.0,
74,,,,第3节,8.5,0.8,-8.5,0.87,140.5,0.77,140.5,0.91,140.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,6.0,51.0,0,,11077.0,0.0,0.0,
75,,,,第3节,8.5,0.8,-8.5,0.87,139.5,0.87,139.5,0.8,139.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,6.0,51.0,0,,11077.0,0.0,0.0,
76,,,,第3节,8.5,0.8,-8.5,0.87,139.5,0.87,139.5,0.8,139.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,6.0,51.0,0,,11095.0,0.0,0.0,"0.86,0.55"
77,,,,第3节,8.5,0.8,-8.5,0.87,139.5,0.87,139.5,0.8,139.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,6.0,31.0,0,,21077.0,0.0,0.0,
78,,,,第3节,8.5,0.8,-7.5,0.87,139.5,0.87,139.5,0.8,-7.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,6.0,31.0,0,,21077.0,0.0,0.0,
79,,,,第3节,7.5,0.8,-7.5,0.87,139.5,0.87,138.5,0.83,7.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,6.0,31.0,0,,21077.0,0.0,0.0,
80,,,,第3节,7.5,0.8,-7.5,0.87,138.5,0.83,138.5,0.83,138.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,6.0,31.0,0,,21077.0,0.0,0.0,
81,,,,第3节,7.5,0.8,-7.5,0.87,138.5,0.83,138.5,0.83,138.5,3.0,,,10.0,7.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,0.0,57.1,50.0,41.0,43.0,0.0,1,6.0,31.0,0,,21094.0,0.0,0.0,"0.34,0.75"
