,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,47.5,0.8333333333333334,-47.5,0.8333333333333334,,,,12,9,,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,70,0,1,3.0,22.0,1,20181019175517,21075^11077
1,,,4.0,47.5,0.8,-47.5,0.8695652173913043,,,,12,9,,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,70,0,1,3.0,14.0,1,20181019175525.0,21075^11077
2,,,4.0,49.5,0.7692307692307693,-49.5,0.9090909090909091,,,13.0,12,9,,31,13,,15,17,,5,5,0,0,,75.0,70.8,116,70,0,1,3.0,13.0,1,20181019175526.0,11075^21077
3,,,4.0,48.5,1.0,-48.5,0.7142857142857143,,,13.0,12,9,,31,13,,15,17,,5,5,0,0,,75.0,70.8,116,70,0,1,3.0,8.0,1,20181019175531.0,11075^21077
4,,,4.0,48.5,0.9090909090909091,-48.5,0.7692307692307693,,,13.0,12,9,,31,13,,15,17,,5,5,0,0,,75.0,70.8,116,70,0,1,3.0,0.0,1,20181019175539.0,11075^21077
5,,,4.0,45.5,0.0,-45.5,0.0,,,13.0,12,9,,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,70,0,1,2.0,56.0,1,20181019175543.0,11075^21077
6,,,4.0,44.5,0.0,-44.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,56.0,1,20181019175543.0,21074^11077
7,,,4.0,44.5,0.0,-44.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,44.0,0.0,20181019175555.0,21074^11077
8,,,4.0,45.5,0.8,-45.5,0.8695652173913043,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,3.0,10.0,0.0,20181019175602.0,21074^11077
9,,,4.0,44.5,0.8333333333333334,-44.5,0.8333333333333334,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,3.0,10.0,1.0,20181019175702.0,21074^11077
10,,,4.0,44.5,0.8333333333333334,-44.5,0.8333333333333334,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,3.0,1.0,1.0,20181019175710.0,21074^11077
11,,,4.0,43.5,0.0,-43.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,59.0,1.0,20181019175712.0,21077.0
12,,,4.0,43.5,0.0,-43.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,51.0,1.0,20181019175721.0,21077.0
13,,,4.0,43.5,0.0,-43.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,48.0,0.0,20181019175723.0,21077.0
14,,,4.0,44.5,0.0,-44.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,48.0,1.0,20181019175734.0,11077.0
15,,,4.0,44.5,0.0,-44.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,40.0,1.0,20181019175742.0,11077.0
16,,,4.0,43.5,0.0,-43.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,32.0,1.0,20181019175750.0,11077.0
17,,,4.0,43.5,0.0,-43.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,24.0,1.0,20181019175758.0,11077.0
18,,,4.0,42.5,0.0,-42.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,22.0,1.0,20181019175800.0,21077.0
19,,,4.0,42.5,0.0,-42.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,14.0,1.0,20181019175808.0,21077.0
20,,,4.0,43.5,0.0,-43.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,13.0,1.0,20181019175809.0,11077.0
21,,,4.0,43.5,0.0,-43.5,0.0,,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,2.0,5.0,1.0,20181019175817.0,11077.0
22,,,4.0,43.5,0.0,-43.5,0.0,1.0,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,1.0,57.0,1.0,20181019175825.0,11077.0
23,,,4.0,42.5,0.0,-42.5,0.0,1.0,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,1.0,51.0,1.0,20181019175831.0,21077.0
24,,,4.0,42.5,0.0,-42.5,0.0,1.0,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,72,0,1,1.0,43.0,1.0,20181019175840.0,21077.0
25,,,4.0,40.5,0.0,-40.5,0.0,1.0,,13.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,75,0,1,1.0,38.0,1.0,20181019175844.0,21077.0
26,,,4.0,40.5,0.0,-40.5,0.0,1.0,^,10.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,75,0,1,1.0,30.0,1.0,20181019175852.0,21075^11077
27,,,4.0,39.5,0.0,-39.5,0.0,1.0,^,10.0,12,9,14.0,31,13,,15,17,,5,5,0,0,,75.0,70.8,113,75,0,1,1.0,22.0,0.0,20181019175900.0,21075^11077
28,,,4.0,40.5,0.0,-40.5,0.0,1.0,1:2,10.0,12,9,14.0,31,13,16.0,15,17,,5,5,0,0,76.2,75.0,70.8,113,75,0,1,1.0,22.0,0.0,20181019175900.0,11078.0
29,,,4.0,40.5,0.0,-40.5,0.0,1.0,2:2^,10.0,12,9,14.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,115,75,0,1,1.0,22.0,0.0,20181019175900.0,11079^21077
30,,,4.0,40.5,0.0,-40.5,0.0,1.0,2:2^,10.0,12,9,14.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,115,75,0,1,1.0,22.0,1.0,20181019180012.0,11079^21077
31,,,4.0,41.5,0.0,-41.5,0.0,1.0,2:2^,10.0,12,9,14.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,115,75,0,1,1.0,20.0,1.0,20181019180014.0,11079^21077
32,,,4.0,41.5,0.0,-41.5,0.0,1.0,,10.0,12,9,14.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,115,75,0,1,1.0,12.0,1.0,20181019180023.0,11077.0
33,,,4.0,41.5,0.0,-41.5,0.0,1.0,,10.0,12,9,14.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,115,75,0,1,1.0,4.0,1.0,20181019180031.0,11077.0
34,,,4.0,42.5,0.0,-42.5,0.0,1.0,^,12.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,75,0,1,0.0,57.0,1.0,20181019180038.0,11074^21077
35,,,4.0,42.5,0.0,-42.5,0.0,1.0,^,12.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,75,0,1,0.0,49.0,1.0,20181019180046.0,11074^21077
36,,,4.0,40.5,0.0,-40.5,0.0,1.0,^,12.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,78,0,1,0.0,42.0,1.0,20181019180053.0,11074^21077
37,,,4.0,40.5,0.0,-40.5,0.0,1.0,^,11.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,78,0,1,0.0,35.0,0.0,20181019180100.0,21075^11077
38,,,4.0,40.5,0.0,-40.5,0.0,1.0,1:2,11.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,78,0,1,0.0,35.0,1.0,20181019180140.0,11078.0
39,,,4.0,39.5,0.0,-39.5,0.0,1.0,,11.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,78,0,1,0.0,33.0,1.0,20181019180142.0,21077.0
40,,,4.0,38.5,0.0,-38.5,0.0,1.0,,11.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,78,0,1,0.0,24.0,1.0,20181019180151.0,21077.0
41,,,4.0,38.5,0.0,-38.5,0.0,1.0,,11.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,78,0,1,0.0,20.0,0.0,20181019180155.0,21077.0
42,,,4.0,39.5,0.0,-39.5,0.0,1.0,1:2,11.0,12,9,32.0,31,13,17.0,15,17,,5,5,0,0,77.3,75.0,70.8,117,78,0,1,0.0,20.0,0.0,20181019180155.0,11077.0
43,,,4.0,39.5,0.0,-39.5,0.0,1.0,1:2^2:2,11.0,12,9,32.0,31,13,18.0,15,17,,5,5,0,0,78.3,75.0,70.8,118,78,0,1,0.0,20.0,0.0,20181019180155.0,11079^11078
44,,,4.0,39.5,0.0,-39.5,0.0,1.0,2:2^,11.0,12,9,32.0,31,13,19.0,15,17,,5,5,0,0,79.2,75.0,70.8,119,78,0,1,0.0,20.0,0.0,20181019180155.0,11079^21077
45,,,4.0,39.5,0.0,-39.5,0.0,1.0,2:2^,11.0,12,9,32.0,31,13,19.0,15,17,,5,5,0,0,79.2,75.0,70.8,119,78,0,1,0.0,20.0,1.0,20181019180241.0,11079^21077
46,,,4.0,39.5,0.0,-39.5,0.0,1.0,2:2^,11.0,12,9,32.0,31,13,19.0,15,17,,5,5,0,0,79.2,75.0,70.8,119,78,0,1,0.0,18.0,0.0,20181019180243.0,11079^21077
47,44.0,5.0,4.0,39.5,0.0,-39.5,0.0,1.0,,11.0,12,9,32.0,31,13,19.0,15,17,4.0,5,5,0,0,79.2,75.0,70.8,119,78,0,1,0.0,18.0,0.0,20181019180243.0,21081.0
48,44.0,5.0,4.0,39.5,0.0,-39.5,0.0,1.0,,11.0,12,9,32.0,31,13,19.0,15,17,4.0,5,5,0,0,79.2,75.0,70.8,119,78,0,1,0.0,18.0,0.0,20181019180243.0,11081.0
49,44.0,5.0,4.0,39.5,0.0,-39.5,0.0,1.0,,11.0,12,9,32.0,31,13,19.0,15,17,4.0,5,5,0,0,79.2,75.0,70.8,119,78,0,1,0.0,18.0,1.0,20181019180701.0,11081.0
50,44.0,5.0,4.0,38.5,0.0,-38.5,0.0,1.0,^,12.0,12,9,32.0,31,13,19.0,15,17,4.0,5,5,0,0,79.2,75.0,70.8,119,81,0,1,0.0,15.0,1.0,20181019180704.0,21075^11077
51,44.0,5.0,4.0,38.5,0.0,-38.5,0.0,1.0,^,12.0,12,9,32.0,31,13,19.0,15,17,4.0,5,5,0,0,79.2,75.0,70.8,119,81,0,1,0.0,7.0,1.0,20181019180712.0,21075^11077
52,44.0,5.0,4.0,38.5,0.0,-38.5,0.0,1.0,^,12.0,12,9,32.0,31,13,19.0,15,17,4.0,5,5,0,0,79.2,75.0,70.8,119,81,0,1,0.0,0.0,0.0,20181019180720.0,21075^11077
53,44.0,5.0,4.0,38.5,0.0,-38.5,0.0,1.0,,12.0,12,9,32.0,31,13,19.0,15,17,4.0,5,5,0,0,79.2,75.0,70.8,119,81,0,1,0.0,0.0,0.0,20181019180720.0,1084.0
